sample_idx,method,mh_enabled,original_token,corrupted_token,predicted_token,success,l2_dist,kl_div
0,policy,True, lobster, Abraham, insets,False,0.9162074327468872,3.1362907886505127
0,policy,False, lobster, Abraham,ообраз,False,0.894027590751648,6.403482437133789
0,grad_norm_preserved_random_dir,True, lobster, Abraham,-plus,False,0.9202996492385864,5.901767253875732
0,grad_norm_preserved_random_dir,False, lobster, Abraham,<|reserved_special_token_188|>,False,0.7095664143562317,4.219732761383057
0,random,True, lobster, Abraham, operator,False,0.8666753768920898,3.3932583332061768
0,random,False, lobster, Abraham,;o,False,0.8701078295707703,6.635258197784424
1,policy,True, must, democrat, others,False,0.6892281174659729,4.011246204376221
1,policy,False, must, democrat,�,False,0.4996388852596283,3.3310155868530273
1,grad_norm_preserved_random_dir,True, must, democrat, então,False,0.787514328956604,2.8382821083068848
1,grad_norm_preserved_random_dir,False, must, democrat,<|reserved_special_token_123|>,False,0.4996388852596283,3.3310155868530273
1,random,True, must, democrat, They,False,0.6463033556938171,3.6892361640930176
1,random,False, must, democrat, Gross,False,0.7389457821846008,11.14712142944336
2,policy,True,op,Correo,Correo,False,0.6959392428398132,11.611218452453613
2,policy,False,op,Correo, -,False,0.5291192531585693,9.517877578735352
2,grad_norm_preserved_random_dir,True,op,Correo,Correo,False,0.6959392428398132,11.611218452453613
2,grad_norm_preserved_random_dir,False,op,Correo,џN,False,0.42297545075416565,9.256621360778809
2,random,True,op,Correo,throp,False,0.7379787564277649,0.10286954790353775
2,random,False,op,Correo, mand,False,0.7484926581382751,11.439943313598633
3,policy,True, broken, beneficiaries, found,False,0.7027280330657959,8.429651260375977
3,policy,False, broken, beneficiaries,џџџџ,False,0.5849367380142212,9.804811477661133
3,grad_norm_preserved_random_dir,True, broken, beneficiaries, impartial,False,0.8942751884460449,7.616108417510986
3,grad_norm_preserved_random_dir,False, broken, beneficiaries,<|reserved_special_token_162|>,False,0.5791730284690857,9.059494018554688
3,random,True, broken, beneficiaries, won,False,0.7076146006584167,4.134360313415527
3,random,False, broken, beneficiaries,aims,False,0.8229662775993347,6.101828098297119
4,policy,True, their,，有, covers,False,0.6356518864631653,5.956340789794922
4,policy,False, their,，有,<|reserved_special_token_31|>,False,0.4253881275653839,3.4039440155029297
4,grad_norm_preserved_random_dir,True, their,，有, okolí,False,0.6620222330093384,6.093976020812988
