seq_id,strategy,gen_len,scored_len,emitted_eos,hit_cap,total_logp,mean_logp,rep4,distinct2,text
0,greedy,40,40,0,1,-30.330154418945312,-0.7582538604736329,0.13513513513513514,0.7692307692307693,bffe8bceee. She had a big dog that she was trying to train. She had to take it out every day to give it food. She had to take it out every night
0,beam5,40,40,0,1,-11.261589050292969,-0.2815397262573242,0.8108108108108109,0.15384615384615385,9ece-ecea-ecea-ecea-ecea-ecea-ecea-ecea-ecea-ecea-
0,beam20,40,40,0,1,-13.342785835266113,-0.33356964588165283,0.8648648648648649,0.1282051282051282,9eea-ffea-ffea-ffea-ffea-ffea-ffea-ffea-ffea-ffea-ffea-ffea-ffea-
0,ancestral,40,40,0,1,-59.599632263183594,-1.48999080657959,0.10810810810810811,0.7692307692307693,b103. She went to a bar to have a good time. She danced all night together. Her friends told her to go to a casino. She decided to go to a casino. She played
0,topp90,40,40,0,1,-45.74277114868164,-1.143569278717041,0.02702702702702703,0.8461538461538461,"cbdc-e79d. Her computer was broke, but she did not want to buy a new one. She decided to buy a new computer instead. She got a brand new computer instead"
0,temp07,40,40,0,1,-29.56079864501953,-0.7390199661254883,0.6486486486486487,0.3333333333333333,bfc9-8428-ecec-da88-ecec-da88-ecec-da88-ecec-da88-ecec-da
1,greedy,40,40,0,1,-30.593017578125,-0.764825439453125,0.0,0.8717948717948718,a8-da8f. She had a big dog that she was trying to get rid of. She had to go to the vet to get it killed. She got it killed in a few
1,beam5,40,40,0,1,-20.27016830444336,-0.506754207611084,0.10810810810810811,0.6923076923076923,b8-da8f. Jim went to the store to buy a new computer. Jim decided to buy a computer with an Intel processor. Jim bought a new computer with an Intel processor. Jim
1,beam20,40,40,0,1,-16.283248901367188,-0.40708122253417967,0.35135135135135137,0.5128205128205128,fda. Jim went to the store to buy a new computer. Jim went to the computer store and bought a new computer. Jim went to the computer store again to buy a new computer. Jim
1,ancestral,40,40,0,1,-45.36378479003906,-1.1340946197509765,0.16216216216216217,0.6923076923076923,fda. Molly wanted to buy a new clean car. Molly figured she would ask her parents for a bank loan. Molly figured she would ask her brother for a credit card. Molly figured she would
1,topp90,40,40,0,1,-54.34804916381836,-1.358701229095459,0.0,0.9487179487179487,"da. Bob had been doing well in school, but he had gotten lost one day and had gotten into a big trouble. Bob wanted to enroll in a good school to help him get back on his"
1,temp07,40,40,0,1,-45.888126373291016,-1.1472031593322753,0.08108108108108109,0.7692307692307693,a7-fda48a7e8c. Bob went to the mall to buy a new computer. He went to the computer store to buy a new computer. Bob got a good deal
2,greedy,40,40,0,1,-38.53605651855469,-0.9634014129638672,0.0,0.9743589743589743,-8bbf-deece-daa7d-ecee-a-b0f2d473. She had a big dog that she was trying to train. She
2,beam5,40,40,0,1,-11.926687240600586,-0.29816718101501466,0.7837837837837838,0.20512820512820512,-8bbd-ecea-ecea-ecea-ecea-ecea-ecea-ecea-ecea-ecea
2,beam20,40,40,0,1,-6.397805213928223,-0.15994513034820557,0.6486486486486487,0.3333333333333333,-b0f2d473-ea69-434d-b0f2d473-ea69-434d-b0f2d473-ea69-434d-
2,ancestral,40,40,0,1,-45.40153503417969,-1.1350383758544922,0.43243243243243246,0.46153846153846156,-8aad-ceeea.bin.xz.bin.xz.pfc.pcc.xz.bin.xz.pfc.pcc.x
2,topp90,40,40,0,1,-49.28485870361328,-1.232121467590332,0.0,1.0,-96e8-3dcbc9b0f2d. She had a small dog that she wasn't allowed to have. Her dog ran away one day and she didn't find it
2,temp07,40,40,0,1,-67.39633178710938,-1.6849082946777343,0.0,1.0,-8a79-b9da46f8907. Tracing the path to the floppy disk was quite a task. I used my computer to compile a program that would take the place of
3,greedy,40,40,0,1,-28.642839431762695,-0.7160709857940674,0.1891891891891892,0.6923076923076923,8a-daa8eee8aee. She wanted to buy a new car. She decided to go to the dealership. She wanted to buy a new car. She went to the
3,beam5,40,40,0,1,-17.705293655395508,-0.4426323413848877,0.5675675675675675,0.38461538461538464,. She wanted to buy a new car. She decided to go to the dealership. She wanted to buy a new car. She decided to go to the dealership. She wanted to buy a new car
3,beam20,40,40,0,1,-17.705293655395508,-0.4426323413848877,0.5675675675675675,0.38461538461538464,. She wanted to buy a new car. She decided to go to the dealership. She wanted to buy a new car. She decided to go to the dealership. She wanted to buy a new car
3,ancestral,40,40,0,1,-10.164138793945312,-0.2541034698486328,0.5945945945945946,0.358974358974359,80-daa8e34d-4d45-4a80-daa8e34d-4d45-4a80-daa8e34d-4
3,topp90,40,40,0,1,-46.0783805847168,-1.15195951461792,0.0,0.8974358974358975,7d-ceee. She wanted a new computer for work. She found a nice computer at the market. She put it in her closet so she wouldn't worry about it. She put the
3,temp07,40,40,0,1,-56.715614318847656,-1.4178903579711915,0.0,0.9743589743589743,"8a-da88b8d95a. She had a big smile on, and was happy that her boyfriend had arrived. She decided she would let him borrow her sunglasses. He put them"
4,greedy,40,40,0,1,-24.053569793701172,-0.6013392448425293,0.1891891891891892,0.6666666666666666,04. She had a big dog that she was trying to train. She had to take it out every day to give it food. She had to take it out every night to give it food.
