seq_id,strategy,gen_len,scored_len,emitted_eos,hit_cap,total_logp,mean_logp,rep4,distinct2,text
0,greedy,40,40,0,1,-37.017860412597656,-0.9254465103149414,0.0,0.8974358974358975,b8a8a9c9c9a.mp4.m3u8.uploaded.net/file_listing.php?file_id=542e9
0,beam5,40,40,0,1,-23.94004249572754,-0.5985010623931885,0.5945945945945946,0.3333333333333333,b8b8b8b8b8b8.jpg.wtv.mtv_link.mtv_link.mtv_link.mtv_link.mtv
0,beam20,40,40,0,1,-31.699295043945312,-0.7924823760986328,0.4864864864864865,0.4358974358974359,aebd-8a8a8a8a8a8a.mp4.m3u8.key.mp4.m3u8.key.mp4.
0,ancestral,40,40,0,1,-91.48971557617188,-2.287242889404297,0.0,1.0,"a103a8bfc6c9.mp4 of video, from television. Shocking, isn't it? Because this is the US. This is Bill Cosby. He sexually assaulted me"
0,topp90,40,40,0,1,-79.81684875488281,-1.9954212188720704,0.0,1.0,a8cc-7bc3f4bff9b1.jar) ULTRAMIO [in fsx] (a.f.u.m.o.s.r
0,temp07,40,40,0,1,-57.224525451660156,-1.430613136291504,0.21621621621621623,0.6666666666666666,b5bbf8475e7.png.wtv.mtv_flags.txt.wtv.mtv_user.xml.wtv.mtv_password.xml
1,greedy,40,40,0,1,-40.888790130615234,-1.022219753265381,0.16216216216216217,0.6923076923076923,"a8-b8a8a8a8a8a8.png (139.8 KB, 640x480, 640:480, image.png) >>79072 "
1,beam5,40,40,0,1,-34.509796142578125,-0.8627449035644531,0.05405405405405406,0.8717948717948718,a8-b8d9e9e9e9a.mp4.m3u8.uploaded.net/file_listing.php?file_id=d
1,beam20,40,40,0,1,-22.643688201904297,-0.5660922050476074,0.5675675675675675,0.3333333333333333,a8-8a8a8a8a8a8a.mp4.m3u8.mp4.m3u8.mp4.m3u8.
1,ancestral,40,40,0,1,-86.314697265625,-2.157867431640625,0.16216216216216217,0.6923076923076923,ef-a427fb03aab.mov.mov.beamed to internet.mov.beamed back to world.mov.beam shot to the moon. Camera
1,topp90,40,40,0,1,-52.70170211791992,-1.317542552947998,0.0,0.9487179487179487,fc-8cfcdbf8e9b.mp4.tmp five videos were added to the queue. The quota was reached and the videos were deleted. The queue was cleared. We
1,temp07,40,40,0,1,-64.25714874267578,-1.6064287185668946,0.0,0.8974358974358975,"ec-a1a48a766f9a.png (46.85 KB, 590x390, 590:390, Pixels.png) >>79082 "
